chandler_dialogue,dialogues_since_last_chandler,intervening_dialogues
"So I have a flaw! Big deal! Like Joey's constant knuckle-cracking isn't annoying? And Ross, with his over-pronouncing every single word? And Monica, with that snort when she laughs? I mean, what the hell is that thing? ...I accept all those flaws, why can't you accept me for this?",1,"['Monica: Oh, why is it unfair?']"
"Hey, y'know, I have had it with you guys and your cancer and your emphysema and your heart disease. The bottom line is, smoking is cool, and you know it.",10,"[""Monica: Okay.. Well, I'm going out with a guy my friends all really like."", 'Paula: Waitwait.. we talking about the coyotes here? All right, a cow got through!', ""Monica: Can you believe it? ...Y'know what? I just don't feel the thing. I mean, they feel the thing, I don't feel the thing."", ""Paula: Honey.. you should always feel the thing. Listen, if that's how you feel about the guy, Monica, dump him!"", ""Monica: I know.. it's gonna be really hard."", ""Paula: Well, he's a big boy, he'll get over it."", ""Monica: No, he'll be fine. It's the other five I'm worried about."", '[Scene: Cental Perk, Joey and Ross are persecuting Chandler about his smoking.]', 'Joey: Do you have any respect for your body?', ""Ross: Don't you realise what you're-you're doing to yourself?""]"
"Really? He does? (taking the phone) Hey, buddy, what's up! Oh, she told you about that, huh. Well, yeah, I have one now and then. Well, yeah, now. Well, it's not that big- ..well, that's true,.. Gee, y'know, no-one- no-one's ever put it like that before. Well, okay, thanks! (He hands the phone back and stubs out his cigarette.)",1,"[""Rachel: (holding the phone out to Chandler) Chandler? It's Alan, he wants to speak to you.""]"
"Ooh, Lambchop. How old is that sock? If I had a sock on my hand for thirty years it'd be talking too.",4,"[""Rachel: (to Ross, who has wandered up) God, he's good."", 'Ross: If only he were a woman.', 'Rachel: Yeah.', ""[Scene: Monica and Rachel's, everyond except Monica and Joey is watching Lambchop.]""]"
"Joey ate my last stick of gum, so I killed him. Do you think that was wrong?",2,"[""Ross: Okay. I think it's time to change somebody's nicotine patch. (Does so.)"", ""Monica: (entering) Hey. Where's Joey?""]"
"(deadpan) Ooh, I'm alive with pleasure now.",3,"[""Rachel: I think he's across the hall."", 'Monica: Thanks. (Goes to fetch him.)', ""Ross: (finishing changing Chandler's nicotine patch) There y'go.""]"
"(sarcastic) Oh, she's sorry! I feel better!",10,"['Ross: Is there somebody else?', ""Monica: No, nononono.. it's just.. things change. People change."", ""Rachel: We didn't change.."", ""Joey: So that's it? It's over? Just like that?"", 'Phoebe: You know.. you let your guard down, you start to really care about someone, and I just- I- (starts chewing her hair)', 'Monica: Look, I- I could go on pretending-', 'Joey: Okay!', ""Monica: -but that wouldn't be fair to me, it wouldn't be fair to Alan- It wouldn't be fair to you!"", ""Ross: Who-who wants fair? Y'know, I just want things back. Y'know, the way they were."", ""Monica: I'm sorry..""]"
...That's it. I'm getting cigarettes.,10,"[""[Scene: Monica and Rachel's, everyone is mopping around and eating ice cream.]"", 'Rachel: Remember when we went to Central Park and rented boats?.. That was fun.', 'Ross: Yeah. He could row like a viking.', 'Monica: (entering) Hi.', 'All: Mmm.', ""Ross: So how'd it go?"", ""Monica: Oh, y'know.."", 'Phoebe: Did he mention us?', ""Monica: He said he's really gonna miss you guys. (dubious look)"", ""Ross: You had a rough day, huh.. c'mere. (She sits down and Ross strokes her forehead.)""]"
"(leaving) I don't care, I don't care! Game's over! I'm weak! I've gotta smoke! I've gotta have the smoke!",1,['All: No no no!']
"(returns) Yeah, alright.",1,"[""Phoebe: (shouting as he leaves) If you never smoke again I'll give you seven thousand dollars!""]"
"Uh, if I were omnipotent for a day, I'd.. make myself omnipotent forever.",5,"['Written by: Alexa Junge Transcribed by: guineapig', '[Scene: Central Perk, everyone is there except Joey.]', 'Monica: Alright. Phoebe?', 'Phoebe: Okay, okay. If I were omnipotent for a day, I would want, um, world peace, no more hunger, good things for the rain-forest...And bigger boobs!', 'Ross: Yeah, see.. you took mine. Chandler, what about you?']"
You got waaaay too much free time.,10,"['Monica: Would you look at her? She is so peaceful.', 'Phoebe: (waking and startling them) Oh! What what what! ...Hi.', ""Ross: It's okay, y'know, you just nodded off again."", ""Monica: What's going on with you?"", 'Phoebe: I got no sleep last night!', 'Ross: Why?', ""Phoebe: My grandmother has this new boyfriend, and they're both kind of insecure in bed. Oh, and deaf. So they're constantly, like, having to reassure each other that they're having a good time. You have no idea how loud they are!"", 'Monica: Well, if you want, you can stay with Rachel and me tonight.', 'Phoebe: Thanks.', 'Joey: ...Ninety-five, ninety-six, ninety-seven. See, I told you! Less than a hundred steps from our place to here.']"
"Happy birthday, pal!",1,"[""Joey: (to Ross) Hey! Here's the birthday boy! Ross, check it out: hockey tickets, Rangers-Penguins, tonight at the Garden, and we're taking you.""]"
"Well, aren't we Mr. ""The glass is half empty.""",4,"['Joey: We love you, man. (Kisses Ross)', 'Ross: Funny, my birthday was seven months ago.', 'Joey: So?', ""Ross: So, I'm guessing you had an extra ticket and couldn't decide which one of you got to bring a date?""]"
Eleven days before Halloween.. all the good costumes are gone?,4,"['Ross: Oh my God, oh- is today the twentieth, October twentieth?', ""Monica: Oh, I was hoping you wouldn't remember."", 'Ross: Ohhh.', ""Joey: What's wrong with the twentieth?""]"
"(trying to stop Ross leaving) C'mon, Ross! You, me, Joey, ice, guys' night out, c'mon, whaddya say, big guy, (Pretending to punch him in the stomach.) Huh? Huh? Huh?",2,"[""Ross: Today's the day Carol and I first.. consummated our physical relationship. (Joey is puzzled.) Sex. ..You know what, I-I'd better pass on the game. I think I'm just gonna go home and think about my ex-wife and her lesbian lover."", ""Joey: The hell with hockey, let's all do that!""]"
(stops) I have no idea.,1,['Ross: What are you doing?']
You got it.,2,"[""Joey: C'mon, Ross!"", ""Ross: Alright, alright, maybe it'll take my mind off it. Do you promise to buy me a big thumb finger?""]"
"(looking) Oh, this is not that bad.",5,"[""Rachel: Look-look-look-look-look, my first pay check! Look at the window, there's my name! Hi, me!"", 'Phoebe: I remember the day I got my first pay check. There was a cave in in one of the mines, and eight people were killed.', 'Monica: Wow, you worked in a mine?', 'Phoebe: I worked in a Dairy Queen, why?', ""Rachel: God, isn't this exciting? I earned this. I wiped tables for it, I steamed milk for it, and it was totally(opens envelope)not worth it. Who's FICA? Why's he getting all my money? I mean, what- Chandler, look at that.""]"
...Poulet passes it up to Leetch! (Passes it to Joey.),10,"['Rachel: What are you guys doing here?', ""Kiki: Well, we were in the city shopping, and your mom said you work here, aaand it's true!"", ""Joanne: Look at you in the apron. You look like you're in a play."", ""Rachel: (to a pregnant Leslie) Look at you, you are so big I can't believe it!"", ""Leslie: I know. I know! I'm a duplex."", ""Rachel: (to Joanne) So what's going on with you?"", ""Joanne: Well, guess who my dad's making partner in his firm? (She points to herself and they all scream again.)"", ""Kiki: And while we're on the subject of news.. (She holds up here finger to show off her engagement ring and they all scream again.)"", 'Phoebe: (to Monica) Look, look, I have elbows! (They scream.)', '[Scene: A Street, Chandler and Joey are kicking a can to each other.]']"
We'll take a brief time out while Messier stops to look at some women's shoes.,1,"[""Joey: Leetch spots Messier in the crease- there's the pass! (He kicks it to Ross, but Ross is staring into a shop window.)""]"
"Yes, Bunny?",3,"[""Ross: Carol was wearing boots just like those the night that we- we first- y'know. Fact, she, uh- she never took'em off, 'cause we-we- (off Chandler's look) Sorry. Sorry."", 'Joey: What?', 'Ross: Peach pit.']"
(to Joey) Could've been a peach.,3,"['Ross: (points) Peach pit. That night we, uh- we had-', 'Joey: -Peaches?', 'Ross: Actually, nectarines, but basically...']"
What? There was ice there that night with Carol? Plastic seats? Four thousand angry Pittsburgh fans?,10,"[""Monica: Uh, Rach, it's the Visa card people."", 'Rachel: Oh, God, ask them what they want.', ""Monica: (on phone) Could you please tell me what this is in reference to? (Listens) Yes, hold on. (To Rachel) Um, they say there's been some unusual activity on your account."", ""Rachel: But I haven't used my card in weeks!"", ""Monica: That is the unusual activity. Look, they just wanna see if you're okay."", ""Rachel: They wanna know if I'm okay. Okay.. they wanna know if I'm okay, okay, let's see. Well, let's see, the FICA guys took all my money, everyone I know is either getting married, or getting promoted, or getting pregnant, and I'm getting coffee! And it's not even for me! So if that sounds like I'm okay, okay, then you can tell them I'm okay, okay?"", 'Monica: (pauses then on the phone) Uh- Rachel has left the building, can you call back?', ""Rachel: Alright, c'mon! (Miserably) Let's play Twister!"", '[Scene: Madison Square Garden, the guys are trying to find their seats.]', 'Ross: (squeezing past people) Sorry, sorry... Uh-oh.']"
"(to Ross) See buddy, that's all you need, a bunch of toothless guys hitting each other with sticks.",10,"['Phoebe: Floopy?', 'Rachel: Yeah.', ""Monica: So what, you're not the only one. I mean, half the time we don't know where we're going. You've just gotta figure at some point it's all gonna come together, and it's just gonna be... un-floopy."", ""Phoebe: Oh, like that's a word."", ""Rachel: Okay, but Monica, what if- what if it doesn't come together?"", 'Monica: ...Pheebs?', ""Phoebe: Oh, well... 'cause.... you just... I don't like this question."", ""Rachel: Okay, see, see, you guys, what if we don't get magic beans? I mean, what if all we've got are.. beans?"", '[Scene: Madison Square Garden, the guys are watching the game.]', 'Ross: Get him! GET HIM! Get him! Get- YESSS! Not laughing now, are ya pal!']"
He's open!,1,['Ross: Pass it! Pass it!']
"Hey, look, we're on that TV thing!",1,['All: Shoot! Shoot! Shoot!']
(to the receptionist)'Scuse me.,1,"['[Scene: An Emergency Room, Chandler and Joey are leading Ross in.]']"
"Listen, it's kind of an emergency. Well, I guess you know that, or we'd be in the predicament room. (The receptionist glares at him.)",1,"[""Receptionist: (holds up her handshe is on the phone) It says to call this number if you're not completely satisfied with this candy bar. Well, I'm not completely satisfied.""]"
"Excuse me, look, we've been here for over an hour, and a lot of people less sick than my friend have gone in. I mean, that guy with the toe thing? Who's he sleeping with? (She slides the gladd panel over and Chandler talks through it in a loud voice.) Oh, c'mon Dora, don't be mad... I know we both said some things we didn't mean, but that doesn't mean we still don't love each other. (To the waiting room.) Y'know, I feel like I've lost her.. (She slides the panel back, he turns, and it takes him by surprise.) Ba-!",10,"['Phoebe: Oh, I wanna see! Lemme see! Lemme see! (She runs up and takes the binoculars.)', 'Rachel: Hello? Who are we spying on?', ""Monica: White House adviser? Clinton's campaign guy? The one with the great hair, sexy smile, really cute butt?"", 'Rachel: Oh, him, the little guy? Oh, I love him!', 'Phoebe: Ooh, wait.. wait, I see a woman.', ""Monica: Please tell me it's his mother."", 'Phoebe: Definitely not his mother.', 'Monica: Oh, no...', ""Phoebe: Oh, wait, she's walking across the floor.. she's walking.. she's walking.. she's going for the pizza- (Yelling) Hey, that's not for you, bitch! (Phoebe covers her mouth with her hand walks away from the window.)"", ""[Scene: The Emergency Room, Joey is miming hockey pucks kitting foreheads. Chandler realises it's getting tense and goes to the receptionist again.]""]"
"Yes, the moon, the glow, the magical feeling, you did this part- Could I get some painkillers over here, please?",10,"['Rachel: Yeah.', ""Monica: Oh. Maybe they're- napping."", ""Rachel: Oh please, they're having sex."", 'Monica and Phoebe: Shut up!', 'Rachel: So, whaddya think George is like?', ""Monica: I think he's shy."", 'Phoebe: Yeah?', ""Monica: Yeah. I think you have to draw him out. And then- when you do- he's a preppy animal."", '[Scene: The Emergency Room, Ross is still going on about his first night with Carol.]', 'Ross: I remember the moonlight coming through the window- and her face had the most incredible glow.']"
